Rank,MovieName,Worldwide_lifetime_gross(M),Domestic_lifetime_gross(M),Foreign_lifetime_gross(M),DomesticPercentage,ForeignPercentage,Year_of_release
1,Avengers: Endgame,2797.8,858.37,1939.43,30.7,69.3,2019
2,Avatar,2790.44,760.51,2029.93,27.2,72.8,2009
3,Titanic,2471.75,659.36,1812.39,26.7,73.3,1997
4,Star Wars: Episode VII - The Force Awakens,2068.45,936.66,1131.79,45.3,54.7,2015
5,Avengers: Infinity War,2048.36,678.82,1369.54,33.1,66.9,2018
6,Jurassic World,1670.4,652.27,1018.13,39,61,2015
7,The Lion King,1657.14,543.64,1113.5,32.8,67.2,2019
8,The Avengers,1518.82,623.36,895.46,41,59,2012
9,Furious 7,1515.25,353.01,1162.25,23.3,76.7,2015
10,Frozen II,1450.03,477.37,972.65,32.9,67.1,2019
11,Avengers: Age of Ultron,1402.81,459.01,943.8,32.7,67.3,2015
12,Black Panther,1347.6,700.43,647.17,52,48,2018
13,Harry Potter and the Deathly Hallows: Part 2,1342.22,381.41,960.81,28.4,71.6,2011
14,Star Wars: Episode VIII - The Last Jedi,1332.7,620.18,712.52,46.5,53.5,2017
15,Jurassic World: Fallen Kingdom,1310.46,417.72,892.74,31.9,68.1,2018
16,Frozen,1281.02,400.95,880.07,31.3,68.7,2013
17,Beauty and the Beast,1264.06,504.48,759.58,39.9,60.1,2017
18,Incredibles 2,1242.81,608.58,634.22,49,51,2018
19,The Fate of the Furious,1236.01,226.01,1010,18.3,81.7,2017
20,Iron Man 3,1214.81,409.01,805.8,33.7,66.3,2013
21,Minions,1159.44,336.05,823.4,29,71,2015
22,Captain America: Civil War,1153.56,408.08,745.48,35.4,64.6,2016
23,Aquaman,1148.49,335.06,813.42,29.2,70.8,2018
24,The Lord of the Rings: The Return of the King,1142.46,377.85,764.61,33.1,66.9,2003
25,Spider-Man: Far from Home,1131.93,390.53,741.4,34.5,65.5,2019
26,Captain Marvel,1128.44,426.83,701.61,37.8,62.2,2019
27,Transformers: Dark of the Moon,1123.79,352.39,771.4,31.4,68.6,2011
28,Skyfall,1108.56,304.36,804.2,27.5,72.5,2012
29,Fast & Furious Presents: Hobbs & Shaw,1104.83,173.96,930.87,15.8,84.2,2019
30,Transformers: Age of Extinction,1104.05,245.44,858.61,22.2,77.8,2014
31,The Lion King,1083.72,422.78,660.94,39,61,1994
32,The Dark Knight Rises,1081.14,448.14,633,41.4,58.6,2012
33,Joker,1074.25,335.45,738.8,31.2,68.8,2019
34,Star Wars: Episode IX - The Rise of Skywalker,1074.14,515.2,558.94,48,52,2019
35,Toy Story 4,1073.39,434.04,639.36,40.4,59.6,2019
36,Toy Story 3,1066.97,415,651.97,38.9,61.1,2010
37,Pirates of the Caribbean: Dead Man's Chest,1066.18,423.32,642.86,39.7,60.3,2006
38,Rogue One: A Star Wars Story,1056.06,532.18,523.88,50.4,49.6,2016
39,Aladdin,1050.69,355.56,695.13,33.8,66.2,2019
40,Pirates of the Caribbean: On Stranger Tides,1045.71,241.07,804.64,23,77,2011
41,Despicable Me 3,1034.8,264.62,770.18,25.6,74.4,2017
42,Jurassic Park,1033.93,404.21,629.71,39.1,60.9,1993
43,Finding Dory,1028.57,486.3,542.28,47.3,52.7,2016
44,Star Wars: Episode I - The Phantom Menace,1027.08,474.54,552.54,46.2,53.8,1999
45,Alice in Wonderland,1025.47,334.19,691.28,32.6,67.4,2010
46,Zootopia,1023.79,341.27,682.52,33.3,66.7,2016
47,The Hobbit: An Unexpected Journey,1017,303,714,29.8,70.2,2012
48,Harry Potter and the Sorcerer's Stone,1006.92,318.09,688.83,31.6,68.4,2001
49,The Dark Knight,1005.97,534.86,471.12,53.2,46.8,2008
50,Harry Potter and the Deathly Hallows: Part 1,977,296.35,680.65,30.3,69.7,2010
51,Despicable Me 2,970.77,368.07,602.7,37.9,62.1,2013
52,The Jungle Book,966.55,364,602.55,37.7,62.3,2016
53,Jumanji: Welcome to the Jungle,962.1,404.54,557.56,42,58,2017
54,Pirates of the Caribbean: At World's End,961,309.42,651.58,32.2,67.8,2007
55,The Hobbit: The Desolation of Smaug,958.37,258.37,700,27,73,2013
56,The Hobbit: The Battle of the Five Armies,956.02,255.12,700.9,26.7,73.3,2014
57,The Lord of the Rings: The Two Towers,943.4,342.55,600.84,36.3,63.7,2002
58,Harry Potter and the Order of the Phoenix,942.17,292.35,649.82,31,69,2007
59,Finding Nemo,940.35,380.84,559.51,40.5,59.5,2003
60,Harry Potter and the Half-Blood Prince,934.45,302.31,632.15,32.4,67.6,2009
61,Shrek 2,928.76,441.23,487.53,47.5,52.5,2004
62,Bohemian Rhapsody,903.98,216.67,687.31,24,76,2018
63,Harry Potter and the Goblet of Fire,896.42,290.42,606,32.4,67.6,2005
64,Spider-Man 3,894.98,336.53,558.45,37.6,62.4,2007
65,The Lord of the Rings: The Fellowship of the Ring,888.16,315.54,572.61,35.5,64.5,2001
66,Ice Age: Dawn of the Dinosaurs,886.69,196.57,690.11,22.2,77.8,2009
67,Spectre,880.67,200.07,680.6,22.7,77.3,2015
68,Spider-Man: Homecoming,880.17,334.2,545.97,38,62,2017
69,Harry Potter and the Chamber of Secrets,879.6,262.45,617.15,29.8,70.2,2002
70,Ice Age: Continental Drift,877.24,161.32,715.92,18.4,81.6,2012
71,The Secret Life of Pets,875.46,368.38,507.07,42.1,57.9,2016
72,Batman v Superman: Dawn of Justice,873.64,330.36,543.28,37.8,62.2,2016
73,Wolf Warrior 2,870.33,2.72,867.6,0.3,99.7,2017
74,Star Wars: Episode III - Revenge of the Sith,868.39,380.27,488.12,43.8,56.2,2005
75,The Hunger Games: Catching Fire,865.01,424.67,440.34,49.1,50.9,2013
76,Guardians of the Galaxy Vol. 2,863.76,389.81,473.94,45.1,54.9,2017
77,Inside Out,858.07,356.92,501.15,41.6,58.4,2015
78,Venom,856.09,213.52,642.57,24.9,75.1,2018
79,Thor: Ragnarok,853.98,315.06,538.93,36.9,63.1,2017
80,Inception,836.84,292.58,544.26,35,65,2010
81,Transformers: Revenge of the Fallen,836.3,402.11,434.19,48.1,51.9,2009
82,The Twilight Saga: Breaking Dawn - Part 2,829.75,292.32,537.42,35.2,64.8,2012
83,Spider-Man,825.03,407.02,418,49.3,50.7,2002
84,Wonder Woman,822.3,412.82,409.49,50.2,49.8,2017
85,Independence Day,817.4,306.17,511.23,37.5,62.5,1996
86,Fantastic Beasts and Where to Find Them,814.04,234.04,580.01,28.8,71.2,2016
87,Shrek the Third,813.37,322.72,490.65,39.7,60.3,2007
88,Coco,807.82,210.46,597.36,26,74,2017
89,Jumanji: The Next Level,800.06,320.31,479.74,40,60,2019
90,Harry Potter and the Prisoner of Azkaban,796.22,249.98,546.25,31.4,68.6,2004
91,Pirates of the Caribbean: Dead Men Tell No Tales,794.88,172.56,622.32,21.7,78.3,2017
92,E.T. the Extra-Terrestrial,792.91,435.11,357.8,54.9,45.1,1982
93,2012,791.22,166.11,625.11,21,79,2009
94,Mission: Impossible - Fallout,791.12,220.16,570.96,27.8,72.2,2018
95,Indiana Jones and the Kingdom of the Crystal Skull,790.65,317.1,473.55,40.1,59.9,2008
96,Spider-Man 2,788.98,373.59,415.39,47.4,52.6,2004
97,Fast & Furious 6,788.68,238.68,550,30.3,69.7,2013
98,Deadpool 2,785.79,324.59,461.2,41.3,58.7,2018
99,Deadpool,782.61,363.07,419.54,46.4,53.6,2016
100,Star Wars: Episode IV - A New Hope,775.4,461,314.4,59.4,40.6,1977
101,Guardians of the Galaxy,773.34,333.72,439.62,43.2,56.8,2014
102,The Da Vinci Code,760.01,217.54,542.47,28.6,71.4,2006
103,Maleficent,758.41,241.41,517,31.8,68.2,2014
104,The Amazing Spider-Man,757.93,262.03,495.9,34.6,65.4,2012
105,The Hunger Games: Mockingjay - Part 1,755.36,337.14,418.22,44.6,55.4,2014
106,Shrek Forever After,752.6,238.74,513.86,31.7,68.3,2010
107,Madagascar 3: Europe's Most Wanted,746.92,216.39,530.53,29,71,2012
108,Suicide Squad,746.85,325.1,421.75,43.5,56.5,2016
